Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
506685,Ultramarine & Pigments Ltd-$,Bhooma Parthasarathy,Promoter,Equity Shares,446145,1.53,Equity Shares,236080,0.00,Disposal,Equity,210065,0.72,21 Mar 2025,21 Mar 2025,22 Mar 2025,Off Market,,,,,,,BSE,24 Mar 2025
506685,Ultramarine & Pigments Ltd-$,Bhooma Parthasarathy,Promoter,Equity Shares,210065,0.72,Equity Shares,202760,0.00,Disposal,Equity,7305,0.03,21 Mar 2025,21 Mar 2025,22 Mar 2025,Off Market,,,,,,,BSE,24 Mar 2025
506685,Ultramarine & Pigments Ltd-$,Meera Parthasarathy Family Trust,Promoter,Equity Shares,0,0.00,Equity Shares,236080,0.00,Acquisition,Equity,236080,0.81,21 Mar 2025,21 Mar 2025,22 Mar 2025,Off Market,,,,,,,BSE,24 Mar 2025
506685,Ultramarine & Pigments Ltd-$,Tara Parthasarathy Family Trust,Promoter,Equity Shares,0,0.00,Equity Shares,202760,0.00,Acquisition,Equity,202760,0.69,21 Mar 2025,21 Mar 2025,22 Mar 2025,Off Market,,,,,,,BSE,24 Mar 2025
532742,Paushak Ltd,Chirayu Ramanbhai Amin HUF,Promoter Group,Equity Shares,17822,0.58,Equity Shares,2200,8590915.00,Acquisition,Equity,20022,0.65,20 Mar 2025,20 Mar 2025,22 Mar 2025,Market Purchase,,,,,,,BSE,24 Mar 2025
532686,Kernex Microsystems India Ltd,Janardhana Reddy Vinta,Director,Equity Shares,357523,2.13,Equity Shares,30000,19122845.00,Disposal,Equity,327523,1.95,18 Mar 2025,18 Mar 2025,23 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
532067,3B BlackBio Dx Ltd,MAHESH KUMAR UPADHYAY Revised ,Promoter,Equity Shares,24500,0.29,Equity Shares,250,438854.00,Disposal,Equity,24250,0.28,21 Mar 2025,21 Mar 2025,22 Mar 2025,Market Sale,,,,,,,BSE,24 Mar 2025
530365,Orient Bell Ltd-$,Anil Agarwal,Designated Person,Equity Shares,63279,0.43,Equity Shares,4000,960147.00,Disposal,Equity,59279,0.41,19 Mar 2025,19 Mar 2025,21 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
530365,Orient Bell Ltd-$,Anil Agarwal,Designated Person,Equity Shares,59279,0.41,Equity Shares,2000,478280.00,Disposal,Equity,57279,0.39,20 Mar 2025,20 Mar 2025,21 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
531358,Choice International Ltd,Sunil Kumar Bagaria,Designated Person,Equity Shares,1400000,0.70,Equity Shares,100000,50210000.00,Pledge,Equity,1400000,0.70,20 Mar 2025,20 Mar 2025,24 Mar 2025,Creation Of Pledge,,,,,,,NA,24 Mar 2025
531335,Zydus Wellness Ltd-$,Umesh Vinodray Parikh,Designated Person,Equity Shares,1106,0.00,Equity Shares,1400,2331614.00,Acquisition,Equity,2506,0.00,21 Mar 2025,21 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,NSE,24 Mar 2025
513228,Pennar Industries Ltd-$,Aditya Narsing Rao,Promoter,Equity Shares,8963858,6.64,Equity Shares,18450,3497421.00,Acquisition,Equity,8982308,6.65,21 Mar 2025,21 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,NSE,24 Mar 2025
513228,Pennar Industries Ltd-$,Lavanya Kumar Rao Kondapalli,Promoter Group,Equity Shares,206650,0.15,Equity Shares,18450,0.00,Disposal,Equity,188200,0.14,21 Mar 2025,21 Mar 2025,24 Mar 2025,Gift,,,,,,,NA,24 Mar 2025
512493,Garnet International Ltd,Suresh Gaggar HUF,Promoter Group,Equity Shares,179946,0.92,Equity Shares,10000,1165000.00,Disposal,Equity,169946,0.87,24 Mar 2025,24 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,BSE,24 Mar 2025
513361,India Steel Works Ltd,Khamgaon Land Development & Trading Company Private Limited,Promoter Group,Equity Shares,23151003,5.82,Equity Shares,4606983,22811438.00,Disposal,Equity,18544020,4.66,21 Mar 2025,21 Mar 2025,24 Mar 2025,Market Sale,,,,,,,BSE,24 Mar 2025
519216,Ajanta Soya Ltd,CKG FAMILY TRUST,Promoter,Equity Shares,100019,0.12,Equity Shares,75000,3357850.00,Acquisition,Equity,175019,0.22,18 Mar 2025,21 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,BSE,24 Mar 2025
517146,Usha Martin Ltd,Rajeev Jhawar,Promoter,Equity Shares,2811000,0.92,Equity Shares,14000,4607293.00,Acquisition,Equity,2825000,0.93,21 Mar 2025,21 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,NSE,24 Mar 2025
526299,Mphasis Ltd,UDAYABHANU TANGALAMUDI,Designated Person,Equity Shares,0,0.00,Equity Shares,2103,1978923.00,Acquisition,Equity,2103,0.00,20 Mar 2025,20 Mar 2025,21 Mar 2025,ESOP,,,,,,,NA,24 Mar 2025
526921,Twentyfirst Century Management Services Ltd,KARTHIK IYER,Immediate Relative,Equity Shares,1226283,11.68,Equity Shares,13984,888000.00,Acquisition,Equity,1240267,11.81,21 Mar 2025,21 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,BSE,24 Mar 2025
522101,Kilburn Engineering Ltd,Firstview Trading Private Limited,Promoter,Equity Shares,15126239,31.85,Equity Shares,35000,13773000.00,Acquisition,Equity,15161239,31.93,21 Mar 2025,21 Mar 2025,22 Mar 2025,Market Purchase,,,,,,,BSE,24 Mar 2025
523269,Advani Hotels & Resorts (India) Ltd,Prahlad Advani,Promoter & Director,Equity Shares,1823615,1.97,Equity Shares,49958,3087404.00,Disposal,Equity,1773657,1.92,20 Mar 2025,20 Mar 2025,21 Mar 2025,Inter-se Transfer,,,,,,,NA,24 Mar 2025
523269,Advani Hotels & Resorts (India) Ltd,Sameer Prahlad Sundar Advani Trust,Promoter Group,Equity Shares,924385,1.00,Equity Shares,49958,3087404.00,Acquisition,Equity,974343,1.05,20 Mar 2025,20 Mar 2025,21 Mar 2025,Inter-se Transfer,,,,,,,NA,24 Mar 2025
524332,BCL Industries Ltd-$,KUSHAL MITTAL,Promoter,Equity Shares,48297865,16.36,Equity Shares,374499,14647306.00,Acquisition,Equity,48672364,16.49,20 Mar 2025,24 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,NSE,24 Mar 2025
539686,K.P. Energy Ltd,Farukbhai Gulambhai Patel,Promoter & Director,Equity Shares,29880566,44.81,Equity Shares,2800,1100652.00,Acquisition,Equity,29883366,44.81,24 Mar 2025,24 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,NSE,24 Mar 2025
539787,HealthCare Global Enterprises Ltd,VENKATARAMANAN.P,Designated Person,Equity Shares,14414,0.01,Equity Shares,13000,6539095.00,Disposal,Equity,1414,0.00,21 Mar 2025,21 Mar 2025,24 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
539787,HealthCare Global Enterprises Ltd,Ashutosh Kumar,Designated Person,Equity Shares,5000,0.00,Equity Shares,5000,2597884.00,Disposal,Equity,0,0.00,17 Mar 2025,21 Mar 2025,24 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
539787,HealthCare Global Enterprises Ltd,Bomanahalli Rangaswamaiah Girish,Designated Person,Equity Shares,5700,0.00,Equity Shares,2000,1068000.00,Disposal,Equity,3700,0.00,24 Mar 2025,24 Mar 2025,24 Mar 2025,Market Sale,,,,,,,BSE,24 Mar 2025
538868,Continental Securities Ltd,SHYAM LAL KHUTETA HUF,Promoter Group,Equity Shares,687665,2.62,Equity Shares,228000,0.00,Disposal,Equity,459665,1.75,21 Mar 2025,21 Mar 2025,23 Mar 2025,Gift,,,,,,,BSE,24 Mar 2025
538868,Continental Securities Ltd,RAJESH KHUTETA,Promoter & Director,Equity Shares,1083375,4.13,Equity Shares,228000,0.00,Acquisition,Equity,1311375,5.00,21 Mar 2025,21 Mar 2025,23 Mar 2025,Gift,,,,,,,BSE,24 Mar 2025
538567,Gulf Oil Lubricants India Ltd,Somesh Sabhani,Designated Person,Equity Shares,3572,0.01,Equity Shares,550,706750.00,Disposal,Equity,3022,0.01,19 Mar 2025,19 Mar 2025,20 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
538567,Gulf Oil Lubricants India Ltd,Somesh Sabhani,Designated Person,Equity Shares,3022,0.01,Equity Shares,1450,1875500.00,Disposal,Equity,1572,0.00,20 Mar 2025,20 Mar 2025,20 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
538567,Gulf Oil Lubricants India Ltd,Ravi Chawla,KMP,Equity Shares,43266,0.09,Equity Shares,2376,2993760.00,Disposal,Equity,40890,0.08,21 Mar 2025,21 Mar 2025,23 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
538567,Gulf Oil Lubricants India Ltd,Manish Kumar Gangwal,KMP,Equity Shares,12276,0.02,Equity Shares,1000,1301030.00,Disposal,Equity,11276,0.02,20 Mar 2025,20 Mar 2025,23 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
537785,Race Eco Chain Ltd,PUJA MALIK,Directors Immediate Relative,Equity,985200,5.71,Equity,2981,823203.00,Acquisition,-,988181,5.72,21 Mar 2025,21 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,NSE,24 Mar 2025
532980,Gokul Refoils & Solvent Ltd,Arjunsinh Rajput,Promoter Group,Equity Shares,2785431,2.81,Equity Shares,150000,7261480.00,Disposal,Equity,2635431,2.66,21 Mar 2025,21 Mar 2025,24 Mar 2025,Market Sale,,,,,,,BSE,24 Mar 2025
532980,Gokul Refoils & Solvent Ltd,Arjunsinh Rajput,Promoter Group,Equity Shares,2635431,2.66,Equity Shares,200000,9722783.00,Disposal,Equity,2435431,2.46,21 Mar 2025,21 Mar 2025,24 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
533148,JSW Energy Ltd,JSW Energy Employees Welfare Trust,Trust,Equity Shares,2411565,0.14,Equity Shares,460,246462.00,Disposal,Equity,2411105,0.14,18 Mar 2025,18 Mar 2025,20 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
533148,JSW Energy Ltd,JSW Energy Employees Welfare Trust,Trust,Equity Shares,2411105,0.14,Equity Shares,226,125276.00,Disposal,Equity,2410879,0.14,20 Mar 2025,20 Mar 2025,24 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
533573,Alembic Pharmaceuticals Ltd,NIRAYU LIMITED,Promoter Group,Equity Shares,70035435,35.63,Equity Shares,7600,6587236.00,Acquisition,Equity,70043035,35.63,21 Mar 2025,21 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,NSE,24 Mar 2025
540642,Salasar Techno Engineering Ltd,Alok Kumar,Promoter & Director,Equity Shares,65758688,3.81,Equity Shares,4114100,33451815.00,Disposal,Equity,61644588,3.57,18 Mar 2025,20 Mar 2025,20 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
540642,Salasar Techno Engineering Ltd,Base Engineering LLP,Promoter Group,Equity Shares,24499054,1.42,Equity Shares,4582596,37144733.00,Disposal,Equity,19916458,1.15,18 Mar 2025,20 Mar 2025,20 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
540642,Salasar Techno Engineering Ltd,Shikhar Fabtech Private Limited,Promoter Group,Equity Shares,77395281,4.48,Equity Shares,907726,7464293.00,Disposal,Equity,76487555,4.43,19 Mar 2025,20 Mar 2025,20 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
539894,Madhav Infra Projects Ltd,Madhav Power Private Limited,Promoter Group,Equity Shares,30000,0.01,Equity Shares,30000,363051.00,Acquisition,Equity,60000,0.02,21 Mar 2025,21 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,BSE,24 Mar 2025
542323,KPI Green Energy Ltd,FARUKBHAI GULAMBHAI PATEL,Promoter & Director,Equity Shares,95935320,48.73,Equity Shares,2516,1100172.00,Acquisition,Equity,95937836,48.73,24 Mar 2025,24 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,NSE,24 Mar 2025
543482,Eureka Forbes Ltd,Ajit Dheer,Designated Person,Equity Shares,8721,0.00,Equity Shares,8721,4666956.00,Disposal,Equity,0,0.00,21 Mar 2025,21 Mar 2025,24 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
543482,Eureka Forbes Ltd,Kumkum Dheer,Employees Immediate Relative,Equity Shares,54000,0.02,Equity Shares,54000,28764720.00,Disposal,Equity,0,0.00,21 Mar 2025,21 Mar 2025,24 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
543748,Aarti Pharmalabs Ltd,ORCHID FAMILY TRUST Relacion Trusteeship Services Private Limited ,Promoter,Equity Shares,704500,0.78,Equity Shares,24500,19166099.00,Disposal,Equity,680000,0.75,17 Mar 2025,20 Mar 2025,21 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
543748,Aarti Pharmalabs Ltd,TULIP FAMILY TRUST Gloire Trusteeship Services Private Limited ,Promoter Group,Equity Shares,742500,0.82,Equity Shares,15000,11763225.00,Disposal,Equity,727500,0.80,17 Mar 2025,20 Mar 2025,21 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
543748,Aarti Pharmalabs Ltd,TULIP FAMILY TRUST Gloire Trusteeship Services Private Limited ,Promoter Group,Equity Shares,727500,0.80,Equity Shares,20000,15634350.00,Disposal,Equity,707500,0.78,17 Mar 2025,21 Mar 2025,24 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
543782,Sealmatic India Ltd,ABIDALI SHARIF CHAUDHARI,Promoter Group,Equity Shares,1026403,11.34,Equity Shares,300,118800.00,Acquisition,Equity,1026703,11.34,21 Mar 2025,21 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,BSE,24 Mar 2025
543714,Landmark Cars Ltd,Paras Somani,Director,Equity Shares,190405,0.46,Equity Shares,10000,4033000.00,Pledge,Equity,190405,0.46,20 Mar 2025,20 Mar 2025,21 Mar 2025,Creation Of Pledge,,,,,,,NSE,24 Mar 2025
543670,Vinny Overseas Ltd,HIRALAL JAGDISHCHAND PAREKH,Director,Equity Shares,71699706,15.41,Equity Shares,756960,1076242.00,Acquisition,Equity,72456666,15.57,17 Mar 2025,18 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,BSE,24 Mar 2025
543670,Vinny Overseas Ltd,LATADEVI PAREKH,Director,Equity Shares,25776903,5.54,Equity Shares,250000,354500.00,Acquisition,Equity,26026903,5.59,17 Mar 2025,18 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,BSE,24 Mar 2025
543737,Aveer Foods Ltd,MR. RAJKUMAR H CHORDIA,Promoter,Warrants,0,0.00,Warrants,226087,575.00,Acquisition,Warrants,226087,0.00,20 Mar 2025,20 Mar 2025,21 Mar 2025,Allotment,,,,,,,BSE,24 Mar 2025
543737,Aveer Foods Ltd,MR. VISHAL R CHORDIA,Promoter,Warrants,0,0.00,Warrants,226087,575.00,Acquisition,Warrants,226087,0.00,20 Mar 2025,20 Mar 2025,21 Mar 2025,Allotment,,,,,,,BSE,24 Mar 2025
543652,Fusion Finance Ltd,Kamal Kumar Kaushik,Designated Person,Equity Shares,21500,0.02,Equity Shares,4000,618002.00,Disposal,Equity,17500,0.02,21 Mar 2025,21 Mar 2025,24 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
544150,KP Green Engineering Ltd,FARUKBHAI GULAMBHAI PATEL,Promoter & Director,Equity Shares,28926011,57.85,Equity Shares,2750,1111163.00,Acquisition,Equity,28928761,57.86,24 Mar 2025,24 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,BSE,24 Mar 2025
526721,Nicco Parks & Resorts Ltd-$,NICCO ENGINEERING SERVICES LIMITED,Promoter Group,Equity Shares,3208037,6.85,Equity Shares,8578,1005952.00,Acquisition,Equity,3216615,6.87,11 Mar 2025,18 Mar 2025,20 Mar 2025,Market Purchase,,,,,,,BSE,23 Mar 2025
526269,Crestchem Ltd,DIPAK N PATEL,Connected Person,Equity Shares,865437,28.85,Equity Shares,350,80424.00,Acquisition,Equity,865787,28.86,20 Mar 2025,21 Mar 2025,22 Mar 2025,Market Purchase,,,,,,,BSE,22 Mar 2025
524516,Bacil Pharma Ltd,Prakash Shah,Promoter & Director,Equity Shares,207931,3.53,Equity Shares,207931,7901378.00,Disposal,Equity,0,0.00,21 Mar 2025,21 Mar 2025,22 Mar 2025,Market Sale,,,,,,,BSE,22 Mar 2025
514274,Aarvee Denims & Exports Ltd,JAIMIN KAILASH GUPTA,Designated Person,Equity Shares,6042822,25.76,Equity Shares,597372,15000011.00,Acquisition,Equity,6640194,28.30,19 Mar 2025,19 Mar 2025,21 Mar 2025,Off Market,,,,,,,NA,22 Mar 2025
513262,Steel Strips Wheels Ltd-$,Chandigarh Developers Private Limited,Promoter Group,Equity Shares,5917449,3.77,Equity Shares,24899,4728320.00,Acquisition,Equity,5942348,3.79,21 Mar 2025,21 Mar 2025,22 Mar 2025,Market Purchase,,,,,,,NSE,22 Mar 2025
530853,Hipolin Ltd,SUBHASH JAYANTILAL SHAH,Promoter,Equity Shares,85451,2.72,Equity Shares,581,57776.00,Disposal,Equity,84870,2.71,13 Mar 2025,21 Mar 2025,22 Mar 2025,Market Sale,,,,,,,BSE,22 Mar 2025
531146,Medicamen Biotech Ltd-$,Shivalik Rasayan Limited,Promoter,Equity Shares,5466095,42.99,Equity Shares,21000,10376837.00,Acquisition,Equity,5487095,43.16,21 Mar 2025,21 Mar 2025,22 Mar 2025,Market Purchase,,,,,,,NSE,22 Mar 2025
531146,Medicamen Biotech Ltd-$,Shivalik Rasayan Limited,Promoter,Equity Shares,5466095,42.99,Equity Shares,21000,10376837.00,Acquisition,Equity,5487095,43.16,21 Mar 2025,21 Mar 2025,22 Mar 2025,Market Purchase,,,,,,,NSE,22 Mar 2025
530797,Shree Ganesh Elastoplast Ltd,MIHIR RAMESHCHANDRA SHAH,KMP,Equity Shares,23790,0.43,Equity Shares,70999,1455480.00,Acquisition,Equity,94789,1.72,21 Mar 2025,21 Mar 2025,21 Mar 2025,Market Purchase,,,,,,,BSE,22 Mar 2025
530245,Aryaman Financial Services Ltd,Mahshri Enterprises Private Limited,Other,Equity Shares,7083030,60.63,Equity Shares,565000,138425000.00,Acquisition,Equity,7648030,62.45,21 Mar 2025,21 Mar 2025,21 Mar 2025,Allotment,,,,,,,NA,22 Mar 2025
530363,Ugar Sugar Works Ltd-$,CHANDAN SANJEEV SHIRGAOKAR,Promoter & Director,Equity Shares,2015289,1.79,Equity Shares,34912,1738481.00,Acquisition,Equity,2050201,1.82,25 Feb 2025,25 Feb 2025,22 Mar 2025,Market Purchase,,,,,,,NSE,22 Mar 2025
530363,Ugar Sugar Works Ltd-$,JEEVAN VASANT SHIRGAONKAR,Promoter,Equity Shares,62311,0.06,Equity Shares,2500,112900.00,Acquisition,Equity,64811,0.06,14 Feb 2025,22 Mar 2025,22 Mar 2025,Market Purchase,,,,,,,NSE,22 Mar 2025
530363,Ugar Sugar Works Ltd-$,RAJENDRA VINAYAK SHIRGAOKAR,Promoter,Equity Shares,478582,0.42,Equity Shares,381000,0.00,Disposal,Equity,97582,0.08,10 Feb 2025,22 Mar 2025,22 Mar 2025,Inter-se Transfer,,,,,,,NA,22 Mar 2025
530363,Ugar Sugar Works Ltd-$,SHIRGAOKAR PRAFULLA VINAYAK,Promoter,Equity Shares,768016,0.68,Equity Shares,381000,0.00,Acquisition,Equity,1149016,1.02,10 Feb 2025,22 Mar 2025,22 Mar 2025,Inter-se Transfer,,,,,,,NA,22 Mar 2025
530217,Swojas Foods Ltd,PARTHRAJSINH HARSHADSINH RANA,Promoter & Director,Equity Shares,10694843,34.54,Equity Shares,820100,12317902.00,Disposal,Equity,9874743,31.89,21 Mar 2025,21 Mar 2025,22 Mar 2025,Market Sale,,,,,,,BSE,22 Mar 2025
532067,3B BlackBio Dx Ltd,MAHESH KUMAR UPADHYAY,Promoter,Equity Shares,24500,0.29,Equity Shares,250,0.00,Disposal,Equity,24250,0.28,21 Mar 2025,21 Mar 2025,22 Mar 2025,Market Sale,,,,,,,BSE,22 Mar 2025
532217,Siel Financial Services Ltd,AVEEN KAUR SOOD,Promoter & Director,Equity Shares,7294468,64.30,Equity Shares,114234,1142340.00,Disposal,Equity,7180234,64.29,19 Feb 2025,20 Mar 2025,21 Mar 2025,Market Sale,,,,,,,BSE,22 Mar 2025
532290,BLB Ltd,Brij Rattan Bagri,Promoter & Director,Equity Shares,21524527,40.72,Equity Shares,93916,1625686.00,Acquisition,Equity,21618443,40.90,21 Mar 2025,21 Mar 2025,22 Mar 2025,Market Purchase,,,,,,,NSE,22 Mar 2025
500339,Rain Industries Ltd,Sujala Investments Private Limited,Promoter,Equity Shares,37870973,11.26,Equity Shares,20901,2848673.00,Acquisition,Equity,37891874,11.26,21 Mar 2025,21 Mar 2025,22 Mar 2025,Market Purchase,,,,,,,NSE,22 Mar 2025
500458,Kore Foods Ltd,NASREEN FAZALBHOY,Promoter Group,Equity Shares,240240,0.94,Equity Shares,240240,458858.00,Disposal,Equity,0,0.00,20 Mar 2025,20 Mar 2025,21 Mar 2025,Off Market,,,,,,,BSE,22 Mar 2025
500458,Kore Foods Ltd,TEAM24 FOODS AND BEVERAGES PRIVATE LIMITED,Other,Equity Shares,14002348,54.59,Equity Shares,240240,458858.00,Acquisition,Equity,14242588,55.53,20 Mar 2025,20 Mar 2025,21 Mar 2025,Off Market,,,,,,,BSE,22 Mar 2025
543525,Silver Touch Technologies Ltd,Vipul Thakkar,Promoter & Director,Equity Shares,2659759,20.97,Equity Shares,1187,779800.00,Acquisition,Equity,2660946,20.98,19 Mar 2025,19 Mar 2025,21 Mar 2025,Market Purchase,,,,,,,BSE,22 Mar 2025
543525,Silver Touch Technologies Ltd,Vipul Thakkar,Promoter & Director,Equity Shares,2660946,20.98,Equity Shares,3256,2108545.00,Acquisition,Equity,2664202,21.00,20 Mar 2025,20 Mar 2025,21 Mar 2025,Market Purchase,,,,,,,BSE,22 Mar 2025
543525,Silver Touch Technologies Ltd,Vipul Thakkar,Promoter & Director,Equity Shares,2664202,21.00,Equity Shares,400,262800.00,Acquisition,Equity,2664602,21.01,21 Mar 2025,21 Mar 2025,21 Mar 2025,Market Purchase,,,,,,,BSE,22 Mar 2025
540404,Prime Fresh Ltd,AMEESHA KARIA,Promoter Group,Equity Shares,294645,2.16,Equity Shares,2250,256982.00,Acquisition,Equity,296895,2.18,19 Mar 2025,19 Mar 2025,22 Mar 2025,Market Purchase,,,,,,,BSE,22 Mar 2025
532896,Magnum Ventures Ltd,ABHAY JAIN,Promoter Group,Equity Shares,5372690,8.09,Equity Shares,400100,4001000.00,Acquisition,Equity,5772790,8.69,22 Mar 2025,22 Mar 2025,22 Mar 2025,Others,,,,,,,NA,22 Mar 2025
532896,Magnum Ventures Ltd,VINOD KUMAR JAIN HUF ,Promoter Group,Equity Shares,400100,0.60,Equity Shares,400100,4001000.00,Disposal,Equity,0,0.00,22 Mar 2025,22 Mar 2025,22 Mar 2025,Others,,,,,,,NA,22 Mar 2025
537800,Mangalam Industrial Finance Ltd,YATIN SANJAY GUPTE,Promoter & Director,Equity Shares,86807272,9.03,Equity Shares,1800000,3790539.00,Disposal,Equity,85007272,8.84,19 Mar 2025,19 Mar 2025,21 Mar 2025,Market Sale,,,,,,,BSE,22 Mar 2025
537800,Mangalam Industrial Finance Ltd,YATIN SANJAY GUPTE,Promoter & Director,Equity Shares,85007272,8.84,Equity Shares,3900000,7709929.00,Disposal,Equity,81107272,8.43,20 Mar 2025,20 Mar 2025,21 Mar 2025,Market Sale,,,,,,,BSE,22 Mar 2025
537800,Mangalam Industrial Finance Ltd,Wardwizard Solutions India Private Limited,Promoter,Equity Shares,74243256,7.72,Equity Shares,62053,133842.00,Disposal,Equity,74181203,7.71,19 Mar 2025,19 Mar 2025,21 Mar 2025,Market Sale,,,,,,,BSE,22 Mar 2025
538476,Capital Trade Links Ltd,Krishan Kumar,Promoter & Director,Equity Shares,3619869,5.62,Equity Shares,88523,2991155.00,Acquisition,Equity,3708392,5.76,17 Mar 2025,18 Mar 2025,20 Mar 2025,Market Purchase,,,,,,,BSE,22 Mar 2025
538476,Capital Trade Links Ltd,Krishan Kumar,Promoter & Director,Equity Shares,3708392,5.76,Equity Shares,72300,2950044.00,Acquisition,Equity,3780692,5.87,20 Mar 2025,20 Mar 2025,21 Mar 2025,Market Purchase,,,,,,,BSE,22 Mar 2025
538476,Capital Trade Links Ltd,Krishan Kumar,Promoter & Director,Equity Shares,3780692,5.87,Equity Shares,72300,3037756.00,Acquisition,Equity,3852992,5.98,21 Mar 2025,21 Mar 2025,21 Mar 2025,Market Purchase,,,,,,,BSE,22 Mar 2025
538476,Capital Trade Links Ltd,Hemlata,Promoter,Equity Shares,1666326,2.59,Equity Shares,59300,2221275.00,Acquisition,Equity,1725626,2.68,19 Mar 2025,19 Mar 2025,20 Mar 2025,Market Purchase,,,,,,,BSE,22 Mar 2025
538476,Capital Trade Links Ltd,Dipansh Nagpal,Promoters Immediate Relative,Equity Shares,3570,0.01,Equity Shares,32500,1337842.00,Acquisition,Equity,36070,0.05,20 Mar 2025,21 Mar 2025,21 Mar 2025,Market Purchase,,,,,,,BSE,22 Mar 2025
539596,Delta Industrial Resources Ltd,Mr. Rakesh Kumar Goel,Promoter,Equity Shares,400000,7.42,Equity Shares,1000,9000.00,Disposal,Equity,399000,7.40,18 Feb 2025,18 Feb 2025,22 Mar 2025,Market Sale,,,,,,,BSE,22 Mar 2025
539596,Delta Industrial Resources Ltd,Mr. Rakesh Kumar Goel,Promoter,Equity Shares,399000,7.40,Equity Shares,50000,472500.00,Disposal,Equity,349000,6.47,21 Feb 2025,21 Feb 2025,22 Mar 2025,Market Sale,,,,,,,BSE,22 Mar 2025
539596,Delta Industrial Resources Ltd,Mr. Rakesh Kumar Goel,Promoter,Equity Shares,349000,6.47,Equity Shares,50000,437500.00,Disposal,Equity,299000,5.54,12 Mar 2025,12 Mar 2025,22 Mar 2025,Market Sale,,,,,,,BSE,22 Mar 2025
539596,Delta Industrial Resources Ltd,Mr. Rakesh Kumar Goel,Promoter,Equity Shares,299000,5.54,Equity Shares,75000,637500.00,Disposal,Equity,224000,4.15,20 Mar 2025,20 Mar 2025,22 Mar 2025,Market Sale,,,,,,,BSE,22 Mar 2025
539787,HealthCare Global Enterprises Ltd,VENKATARAMANAN.P,Designated Person,Equity Shares,18492,0.01,Equity Shares,4078,2053712.00,Disposal,Equity,14414,0.01,20 Mar 2025,20 Mar 2025,20 Mar 2025,Market Sale,,,,,,,NSE,21 Mar 2025
539799,Bharat Wire Ropes Ltd,Gyanshankar E-Trading LLP,Promoter Group,Equity Shares,503838,0.74,Equity Shares,11000,1852400.00,Acquisition,Equity,514838,0.75,20 Mar 2025,20 Mar 2025,20 Mar 2025,Market Purchase,,,,,,,NSE,21 Mar 2025
